model,feature_type,target_name,fold,num_test_groups,spearman,spearman_pvalue,mae,mse,rmse,r2,num_features,dr_n_components
SVR,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.4783783095187244,0.003165870489749866,0.10784618110477524,0.019543793296204325,0.13979911765173744,0.24715515324864157,8,
MLP,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.6191238929415369,5.6835713991037985e-05,0.10116055907522549,0.016575414964892066,0.12874554347585032,0.3614998096859794,8,
TabPFN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.6663872521243366,9.132050139226218e-06,0.09339984648815501,0.01584244648304978,0.12586678069709173,0.3897344280132875,8,
LinearRegression,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.48311154118799093,0.003285001466728613,0.11143613074126518,0.0167780735582239,0.12953020326635753,0.20672960280973585,8,
Ridge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.4863350878799909,0.0030540956090607196,0.11174749340440318,0.01683904964812663,0.12976536382304266,0.20384664208791092,8,
Lasso,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,,,0.13815205429210295,0.026705254407988502,0.16341742382007038,-0.2626293297485489,8,
ElasticNet,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,,,0.13815205429210295,0.026705254407988502,0.16341742382007038,-0.2626293297485489,8,
Huber,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.45522085459199146,0.006000363984021875,0.11721033875896902,0.0190337245685451,0.13796276515257694,0.10008200905168729,8,
RandomForest,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.43615988284799184,0.008811962152848777,0.122090275944,0.020085771710621873,0.14172428059659317,0.05034102708721966,8,
XGBoost,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.28927827705599457,0.09189358282853764,0.1382728751474163,0.02543549905110154,0.15948510604787375,-0.2025950634308602,8,
LightGBM,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.5203925594519901,0.0013524945188519877,0.116930440861847,0.018133903591933405,0.13466218322874987,0.14262570997419355,8,
KNN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.08339175137999844,0.63388483864945,0.14705053566285717,0.03260326511154119,0.1805637425164343,-0.5414883583017027,8,
GradientBoosting,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.35809399121999325,0.034670615487892,0.1357761456848849,0.024592750318086245,0.15682075856877573,-0.1627497486603242,8,
KernelRidge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.4863350878799909,0.0030540956090607196,0.20127573529579307,0.055279436779777716,0.23511579440730415,-1.6136219166385883,8,
GaussianProcess,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.30007015076399435,0.07988037434384303,0.167106474543946,0.04117908898977637,0.20292631418762913,-0.9469548852252812,8,
SVR,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.37967773863599286,0.024473517551939813,0.118946406602761,0.018374155576533872,0.13555130237859714,0.13126655204772553,8,
MLP,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.4550807003879914,0.006017817011752537,0.11941180095969144,0.02098442880453701,0.14486003177045423,0.007852354752219237,8,
TabPFN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,5,1,0.6165383433959885,8.019169231597082e-05,0.10597229632875661,0.015085393194353142,0.12282260864496057,0.286759841079001,8,
